"Ozone","Solar.R","Wind","Temp","Month","Day","RealFeel","WindchillTemp"
"1",5,88,-14,19,-15,-17,27,20
"2",2,48,-13,22,-15,-17,27,23
"3",-11,65,-11,23,-15,-16,22,24
"4",-8,156,-11,17,-15,-16,18,16
"7",-5,148,-13,18,-15,-14,23,18
"8",-7,37,-10,15,-15,-13,11,14
"9",-13,-7,-7,16,-15,-13,6,14
"12",-9,124,-12,21,-15,-11,23,21
"13",-12,143,-13,19,-15,-11,21,19
"14",-10,134,-12,20,-15,-10,21,20
"15",-8,18,-10,14,-15,-9,10,13
"16",-10,168,-11,18,-15,-9,19,17
"17",1,153,-11,19,-15,-8,24,19
"18",-14,26,-8,14,-15,-8,4,12
"19",-1,161,-11,20,-15,-7,25,20
"20",-12,7,-12,17,-15,-7,13,16
"21",-17,-13,-12,15,-15,-6,8,14
"22",-12,160,-9,23,-15,-6,21,23
"23",-16,-4,-12,16,-15,-5,11,15
"24",0,33,-11,16,-15,-4,16,15
"28",-5,-11,-11,19,-15,-2,17,19
"29",7,122,-10,27,-15,-2,34,29
"30",46,106,-15,26,-15,-1,51,28
"31",3,137,-14,24,-15,-1,34,26
"38",-2,53,-12,28,-14,-14,32,30
"40",22,144,-10,32,-14,-13,46,35
"41",4,162,-11,31,-14,-12,40,33
"44",-5,64,-13,28,-14,-11,32,30
"47",-6,88,-10,25,-14,-9,25,26
"48",3,140,-6,22,-14,-8,23,22
"49",-7,3,-13,18,-14,-8,17,18
"50",-11,49,-11,23,-14,-7,21,24
"51",-11,58,-12,24,-14,-7,24,26
"62",57,132,-16,29,-14,-17,61,31
"63",9,120,-13,29,-14,-17,40,32
"64",0,113,-13,27,-14,-16,34,29
"66",18,79,-15,28,-14,-15,43,31
"67",4,157,-12,28,-14,-14,37,31
"68",25,136,-15,31,-14,-14,51,34
"69",36,131,-14,33,-14,-13,57,37
"70",36,133,-15,33,-14,-13,57,36
"71",29,79,-14,32,-14,-12,50,35
"73",-12,129,-10,23,-14,-11,22,23
"74",-3,79,-10,27,-14,-11,29,29
"76",-14,9,-10,27,-14,-9,23,28
"77",9,127,-14,27,-14,-9,39,29
"78",2,134,-12,28,-14,-8,35,30
"79",16,141,-14,29,-14,-8,45,31
"80",26,86,-15,31,-14,-7,49,33
"81",17,104,-11,29,-14,-7,41,32
"82",-9,-14,-14,23,-14,-6,23,25
"85",27,146,-13,30,-14,-4,48,33
"86",42,106,-13,29,-14,-4,52,32
"87",-7,27,-13,28,-14,-3,30,30
"88",11,28,-11,30,-14,-3,37,33
"89",28,101,-14,31,-14,-2,49,34
"90",10,135,-14,30,-14,-2,43,33
"91",18,123,-14,28,-14,-1,43,31
"92",15,123,-13,27,-14,-1,40,29
"93",4,28,-14,27,-13,-17,34,29
"94",-13,-4,-10,27,-13,-17,24,29
"95",-9,25,-14,28,-13,-16,29,30
"99",50,124,-16,32,-13,-14,61,34
"100",32,109,-12,32,-13,-13,51,35
"101",43,97,-13,32,-13,-13,56,35
"104",7,89,-11,30,-13,-11,38,33
"105",-2,134,-11,28,-13,-11,33,30
"106",18,69,-12,27,-13,-10,38,28
"108",-6,22,-12,25,-13,-9,26,26
"109",15,11,-14,26,-13,-8,36,28
"110",-5,46,-14,24,-13,-8,28,26
"111",-1,118,-12,26,-13,-7,31,27
"112",7,88,-12,26,-13,-7,33,27
"113",-6,126,-9,25,-13,-6,26,26
"114",-13,2,-10,22,-13,-6,17,23
"116",7,100,-12,26,-13,-4,35,28
"117",76,114,-16,27,-13,-4,65,29
"118",23,102,-13,30,-13,-3,46,33
"120",24,95,-12,36,-13,-2,53,40
"121",48,107,-16,34,-13,-2,64,37
"122",29,114,-14,36,-13,-1,56,39
"123",29,87,-14,34,-13,-1,54,38
"124",36,75,-14,33,-13,-17,53,36
"125",26,92,-15,33,-13,-17,52,36
"126",23,84,-16,34,-13,-16,53,37
"127",33,87,-15,34,-13,-16,56,37
"128",8,35,-14,31,-13,-15,39,33
"129",0,33,-9,29,-13,-14,30,31
"130",-7,122,-12,27,-13,-14,30,28
"131",-5,104,-12,26,-13,-13,29,27
"132",-6,110,-12,24,-13,-13,27,25
"133",-4,126,-12,23,-13,-12,27,24
"134",7,113,-10,27,-13,-12,33,29
"135",-6,126,-9,24,-13,-11,25,26
"136",-2,114,-14,25,-13,-11,33,27
"137",-13,-4,-12,22,-13,-10,18,22
"138",-11,44,-11,22,-13,-9,20,22
"139",8,114,-14,26,-13,-9,36,27
"140",-8,107,-10,19,-13,-8,19,19
"141",-11,-3,-12,24,-13,-8,22,26
"142",-4,114,-12,20,-13,-7,23,20
"143",-9,94,-13,28,-13,-7,32,30
"144",-11,114,-11,18,-13,-6,17,17
"145",-5,-10,-13,22,-13,-6,21,22
"146",2,59,-12,27,-13,-5,32,29
"147",-14,9,-12,21,-13,-4,17,21
"148",-10,-7,-9,17,-13,-4,10,16
"149",-1,89,-14,21,-13,-3,27,22
"151",-10,88,-10,24,-13,-2,23,25
"152",-8,55,-13,24,-13,-2,27,26
"153",-7,106,-11,20,-13,-1,21,20
