origin,dest,carrier,dep_delay,arr_delay,air_time,seats,temp
JFK,LAX,DL,-11,-21,343,178,17.96
JFK,LAX,DL,-9,-22,340,178,17.96
JFK,LAX,DL,-9,,,178,17.96
JFK,LAX,DL,-8,-48,305,178,17.96
JFK,LAX,DL,-8,-46,317,178,17.96
JFK,LAX,DL,-8,-43,320,178,17.96
JFK,LAX,DL,-8,-35,318,178,17.96
JFK,LAX,DL,-8,-32,331,178,17.96
JFK,LAX,DL,-8,-32,351,178,17.96
JFK,LAX,DL,-8,-15,334,178,17.96
JFK,LAX,DL,-8,-14,328,178,17.96
JFK,LAX,DL,-8,-10,339,178,17.96
JFK,LAX,DL,-8,-4,354,178,17.96
JFK,LAX,DL,-8,3,367,178,17.96
JFK,LAX,DL,-7,-62,311,178,17.96
JFK,LAX,DL,-7,-51,323,178,17.96
JFK,LAX,DL,-7,-50,316,178,17.96
JFK,LAX,DL,-7,-42,331,178,17.96
JFK,LAX,DL,-7,-42,341,178,17.96
JFK,LAX,DL,-7,-41,340,178,17.96
JFK,LAX,DL,-7,-32,338,178,17.96
JFK,LAX,DL,-7,-29,339,178,17.96
JFK,LAX,DL,-7,-23,335,178,17.96
JFK,LAX,DL,-7,-23,339,178,17.96
JFK,LAX,DL,-7,-19,331,178,17.96
JFK,LAX,DL,-7,-18,355,178,17.96
JFK,LAX,DL,-7,-13,331,178,17.96
JFK,LAX,DL,-7,-9,350,178,17.96
JFK,LAX,DL,-7,-7,351,178,17.96
JFK,LAX,DL,-7,-1,354,178,17.96
JFK,LAX,DL,-7,15,343,178,17.96
JFK,LAX,DL,-7,17,352,178,17.96
JFK,LAX,DL,-7,18,351,178,17.96
JFK,LAX,DL,-6,-56,321,178,17.96
JFK,LAX,DL,-6,-42,334,178,17.96
JFK,LAX,DL,-6,-40,338,178,17.96
JFK,LAX,DL,-6,-35,330,178,17.96
JFK,LAX,DL,-6,-34,325,178,17.96
JFK,LAX,DL,-6,-31,325,178,17.96
JFK,LAX,DL,-6,-31,338,178,17.96
JFK,LAX,DL,-6,-29,323,178,17.96
JFK,LAX,DL,-6,-29,332,178,17.96
JFK,LAX,DL,-6,-28,341,178,17.96
JFK,LAX,DL,-6,-27,338,178,17.96
JFK,LAX,DL,-6,-24,333,178,17.96
JFK,LAX,DL,-6,-24,348,178,17.96
JFK,LAX,DL,-6,-21,346,178,17.96
JFK,LAX,DL,-6,-18,331,178,17.96
JFK,LAX,DL,-6,-18,340,178,17.96
JFK,LAX,DL,-6,-16,313,178,17.96
JFK,LAX,DL,-6,-14,341,178,17.96
